table,fig,section,name,translation,carpet,type,note
33,3,,Тахт,Престол,Мараза,К.-Ш,Это основной элемент ковра «Мараза».
33,4,,Пенджа,Лапа Гянджа Г.-К Больше встречается в,коврах,—,намазлыках.
34,1,,Каса,Чаша,Алпан,К.-Ш,
34,2,,Купә,Глиняный кувшин,Ширван,К.-Ш,
34,3,,Гюлабдан,Флакон для розовой воды,Казах,Г.-К,
34,4,,Күрэ,Печь,Куба,К.-Ш,Передвижная печь из глины или жести.
34,5,,Афтафа,Сосуд для омовения,Ширван,К.-Ш,
34,6,,Афтафа,Сосуд для омовения,Чуханлы,К.-Ш,"В Карабахе носит название «гююм», т. е. кувшин."
34,7,,Афтафа,Сосуд для омовения,Карабах,Кар.,
34,8,,Симавар,Самовар,Зейва,К.-Ш,Относится к концу XIX в.
34,9,,Тохмаг,Колотушка,Карабах,Кар.,
34,10,,Гыф,Воронка,Карабах,Кар.,"Этот элемент называется «мизрабом», т. е. плектором."
34,11,,Сюмбюль,Колос,Арджиман,К.-Ш,
34,12,,Сюмбюльдарах,Гребень-колос,Куба,К.-Ш,Этот символ изобилия встречается и в других коврах Азербайджана.
35,1,,Гатдан,Сахарница,Ширван,К.-Ш,Скорее всего это масленка.
35,2,,Габ,Посуда,Фахралы,Г.-К,Ваза с грушами.
35,3,,Габ,Посуда,Куба,К.-Ш,Ваза с яблоками.
35,4,,Габ,Посуда,Фахралы,Г.-К,Ваза с грушами.
35,5,,Гюльдан,Цветочница,Карагашлы,К.-Ш,Основной элемент ковра «Карагашлы».
35,6,,Гюльдан,Цветочница,Сагсыдагюллер,Кар.,Взят из русских вышивок XIX в.
35,7,,Шамдан,Подсвечник,Салмесоюд,К.-Ш,
35,8,,Шамдан,Подсвечник,Мугань,Кар.,Напоминает алтарь у огнепоклонников.
36,1,,Наггаш,Узор,Карабах,Кар.,Ступенчатые элементы наиболее древние из ковровых мотивов.
36,2,,Дамга,Клеймо,Гянджа,Г.-К,
36,3,,Дамга,Клеймо,Конахкенд,К.-Ш,Встречается и в ширванских коврах.
36,4,,?,,Гаджигаиб,К.-Ш,"Можно считать, что это «кетебә»."
36,5,,Килимгюлю,Килимовый цветок,Салахлы,Г.-К,Взят из килимового узора.
36,6,,Килимгюлю,Килимовый цветок,Карабах,Кар.,
37,1,,Килимгюлю,Килимовый цветок,Карабах,Кар.,
37,2,,Килимгюлю,Килимовый цветок,Карабах,Кар.,
37,3,,Килимгюлю,Килимовый цветок,Гянджа,Г.-К,
37,4,,Гюлюдасмал,Платок с цветочкам Кохна,Куба,К.-Ш,Этот элемент встречается и в дербентских коврах.
37,5,,Баджа,Дымовая труба,Карабах,Кар.,
38,1,,?,,Мугань,Кар.,
38,2,,Секкиздырнаг,Восьмипалый,Куба,К.-Ш,Этот элемент называется также следом животного.
